ANO_CONVOCATORIA,CODIGO_PROYECTO,TITULO_PROYECTO,FECHA_APROBACION,ANO_APROBACION,ENTIDAD,CONVOCATORIA,DESCRIPCION_FINANCIACION,PROGRAMA,AREA_TEMATICA,TIPO_PROYECTO,DEPARTAMENTO_ENTIDAD,CIUDAD_ENTIDAD,COD_DANE_ENT,DEPARTAMENTO_PROYECTO,CIUDAD_PROYECTO,COD_DANE_PRY
"2,012","110,656,933,821",FUNCIONES ECOLOGICAS Y HORMIGAS EN CAFETALES CON DIFERENTE INTENSIDAD DE MANEJO,14/09/2012,"2,012",UNIVERSIDAD DEL VALLE - UNIVALLE,569 - 2012 BANCO DE PROYECTOS ELEGIBLES DE CTeI,RECUPERACION CONTINGENTE CTeI,PROGRAMA NACIONAL EN CIENCIAS BASICAS,Biologia,PROYECTO,VALLE DEL CAUCA,CALI,76001,VALLE DEL CAUCA,CALI,76001
"2,010","110,152,128,629",SELECCI¿N MANEJO Y PROPAGACI¿N DE ESPECIES PARA LA CONSOLIDACI¿N DE ESTRATEGIAS DE RESTAURACI¿N ECOL¿GICA DE LOS P¿RAMOS ANDINOS,16/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT,Uso sostenible de la biodiversidad nativa,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,CUNDINAMARCA,GUASCA,25322
"2,010","110,152,128,758",Valoraci¿n de los servicios de polinizaci¿n por abejas en algunos cultivos frutales promisorios en Colombia,16/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT,Uso sostenible de la biodiversidad nativa,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","111,552,128,165",Uso de metodos cuantitativos modernos (secuenciacion de ADN maxima verosimilitud y analisis de elasticidades) para entender el estado demografico actual y posible estado futuro de dos especies de tortugas dulciacuicolas amenazadas Confrontando el problema de conservar especies longevas.,16/12/2010,"2,010",UNIVERSIDAD DE ANTIOQUIA - UDEA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT,Uso sostenible de la biodiversidad nativa,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
"2,010","110,152,129,311",INVESTIGACION DE UN HORNO SEMICONTINUO DE ALTA EFICIENCIA Y BAJAS EMISIONES PARA ALFARERIA,16/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT,PRODUCCION LIMPIA,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","110,152,128,254",Estructuracion de un modelo base para politicas publicas nacional y locales orientada al mejoramiento barrial y urbano en ciudades colombianas una estrategia para la superacion de la informalidad y la pobreza urbanas,16/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT,HABITAT Y DESARROLLO TERRITORIAL,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","111,652,128,593",Desarrollo de Competencias Comunicativas Bilingues e Interculturales en Instituciones Etnoeducativas de la Region Caribe,15/12/2010,"2,010",UNIVERSIDAD DEL ATLANTICO,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Identidades culturales,PROYECTO,ATLANTICO,BARRANQUILLA,08001,ATLANTICO,BARRANQUILLA,08001
"2,010","110,952,128,799",ALIMENTOS PREHISPANICOS ALIMENTOS PROMISORIOS,15/12/2010,"2,010",UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC - SEDE TUNJA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Identidades culturales,PROYECTO,BOYACA,TUNJA,15001,BOYACA,TUNJA,15001
"2,010","144,952,128,413",ORGANIZACIONES POPULARES DE VIVIENDA EN BOYACA,15/12/2010,"2,010",UNIVERSIDAD SANTO TOMAS - SECCIONAL TUNJA                                                  ,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Identidades culturales,PROYECTO,BOYACA,TUNJA,15001,BOYACA,TUNJA,15001
"2,010","120,452,128,275",Umbrales de Evidencia Cientifica,15/12/2010,"2,010",UNIVERSIDAD DE LOS ANDES - UNIANDES,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS SOCIALES Y HUMANAS,Estudios sectoriales y teoria economica,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
